state,year,total_injuries,total_annual_average_employees,avg_injuries_per_employee
MS,2020,7843.0,262191.0,0.029913307474322155
MS,2021,8631.0,286581.0,0.030117139656850943
MS,2022,8793.0,304567.0,0.028870494833649084
MS,2023,8624.0,325931.0,0.026459588072322057
MT,2016,3167.0,76069.0,0.04163325401937715
MT,2017,3008.0,65691.0,0.04579013867957559
MT,2018,3024.0,65341.0,0.0462802834361274
MT,2019,3241.0,69826.0,0.04641537536161315
MT,2020,2570.0,63201.0,0.04066391354567175
MT,2021,3154.0,72099.0,0.043745405622824175
MT,2022,3396.0,76514.0,0.0443840342943775
MT,2023,3794.0,82482.0,0.045997914696539854
NC,2016,36581.0,1183824.0,0.03090070821338307
NC,2017,32461.0,1067797.0,0.030399973028581277
NC,2018,37163.0,1207215.0,0.030784077401291403
NC,2019,37111.0,1257234.0,0.029517973583278848
NC,2020,31562.0,1164661.0,0.02709973116640808
NC,2021,33257.0,1180919.0,0.028161965384586072
NC,2022,37063.0,1359340.0,0.02726543763885415
NC,2023,37720.0,1378735.0,0.027358411877554424
ND,2016,3492.0,89730.0,0.03891675025075226
ND,2017,3619.0,85197.0,0.042478021526579576
ND,2018,3260.0,86508.0,0.037684376011467145
ND,2019,3918.0,100676.0,0.038916921609916964
ND,2020,3491.0,81880.0,0.04263556424035173
ND,2021,3329.0,91499.0,0.036382911288647964
ND,2022,3483.0,89642.0,0.03885455478458758
ND,2023,4031.0,111891.0,0.036026132575452896
NE,2016,8771.0,231535.0,0.03788196169045717
NE,2017,6918.0,188342.0,0.036731053084282844
NE,2018,8368.0,223062.0,0.03751423371080686
NE,2019,7800.0,216485.0,0.03603020994526179
NE,2020,6626.0,197204.0,0.0335997241435265
NE,2021,8043.0,228037.0,0.035270592053044024
NE,2022,7531.0,252033.0,0.02988100764582416
NE,2023,8626.0,282199.0,0.0305670820945503
NH,2016,5569.0,146589.0,0.03799057228032117
NH,2017,5060.0,135676.0,0.037294731566378726
NH,2018,6198.0,157122.0,0.039447053881697024
NH,2019,6546.0,170529.0,0.03838643280615028
NH,2020,5167.0,148559.0,0.0347807941625886
NH,2021,6169.0,162661.0,0.03792550150312613
NH,2022,5716.0,175066.0,0.03265054322369849
NH,2023,6316.0,188844.0,0.033445595306178647
NJ,2016,26188.0,822437.0,0.03184195263588579
NJ,2017,25378.0,773335.0,0.03281630858554184
NJ,2018,28252.0,879865.0,0.0321094713393532
NJ,2019,27870.0,863603.0,0.032271773025336875
NJ,2020,17816.0,654055.0,0.02723929944729419
NJ,2021,25161.0,763585.0,0.032951144928200525
NJ,2022,30126.0,893319.0,0.0337236754171802
NJ,2023,32816.0,988330.0,0.033203484666052836
NM,2016,4155.0,115522.0,0.03596717508353387
NM,2017,3508.0,107500.0,0.03263255813953488
NM,2018,4226.0,125261.0,0.03373755598310727
NM,2019,4516.0,130788.0,0.03452916169679175
NM,2020,3681.0,108253.0,0.034003676572473746
NM,2021,4159.0,115898.0,0.03588500232963468
NM,2022,4402.0,134165.0,0.032810345470130065
NM,2023,4791.0,134443.0,0.035635920055339436
NV,2016,14322.0,378444.0,0.03784443669340774
NV,2017,14294.0,388185.0,0.03682264899468037
NV,2018,16299.0,459501.0,0.03547108711406504
NV,2019,15949.0,462051.0,0.03451783461133078
NV,2020,11332.0,373315.0,0.030355062078941376
NV,2021,14345.0,387003.0,0.03706689612225228
NV,2022,17382.0,464729.0,0.037402443144284085
NV,2023,18930.0,504705.0,0.03750705857877374
NY,2016,49363.0,1650272.0,0.029912038742704233
NY,2017,47772.0,1433931.0,0.03331541057414897
NY,2018,52148.0,1674099.0,0.0311498901797325
NY,2019,52624.0,1720849.0,0.030580254281462233
NY,2020,37578.0,1421780.0,0.026430249405674577
NY,2021,45085.0,1529359.0,0.029479670894799716
NY,2022,53028.0,1689702.0,0.03138304860857122
NY,2023,56291.0,1870453.0,0.03009484868104144
OH,2016,49302.0,1590274.0,0.03100220465152546
OH,2017,45788.0,1521039.0,0.03010310715241358
OH,2018,49072.0,1616847.0,0.030350428952151936
OH,2019,49363.0,1686277.0,0.029273363747474464
OH,2020,37441.0,1427749.0,0.026223797039955903
OH,2021,42710.0,1549862.0,0.027557292197627918
OH,2022,45520.0,1737979.0,0.02619134063184883
OH,2023,46071.0,1816299.0,0.025365317054075347
OK,2016,10408.0,299898.0,0.03470513307858005
OK,2017,9939.0,305845.0,0.03249685298108519
OK,2018,12192.0,361244.0,0.03375004152318101
OK,2019,11903.0,340200.0,0.03498824221046443
OK,2020,9177.0,291429.0,0.031489659574030035
OK,2021,11296.0,326543.0,0.03459268763991266
OK,2022,11954.0,353459.0,0.03382004702101234
OK,2023,12108.0,377198.0,0.03209985206708413
OR,2016,18111.0,430276.0,0.04209158772508808
OR,2017,17167.0,389600.0,0.044063141683778236
OR,2018,20603.0,481564.0,0.042783513717802826
OR,2019,22329.0,500932.0,0.04457491236335471
OR,2020,18250.0,456523.0,0.03997608006606458
OR,2021,20317.0,466505.0,0.04355151606092111
OR,2022,20796.0,515573.0,0.04033570415828602
OR,2023,21654.0,559781.0,0.03868298495304414
PA,2016,63595.0,1705985.0,0.03727758450396692
PA,2017,57635.0,1589316.0,0.03626402804728575
PA,2018,63148.0,1734122.0,0.03641496965034755
PA,2019,61621.0,1706121.0,0.03611760244437528
PA,2020,49604.0,1504440.0,0.032971736991837496
PA,2021,55223.0,1658323.0,0.03330050900819684
PA,2022,59837.0,1805485.0,0.03314178738676865
PA,2023,55666.0,1768313.0,0.031479721067480704
RI,2016,3963.0,90796.0,0.043647297237763776
RI,2017,3702.0,87313.0,0.04239918454296611
RI,2018,4822.0,104624.0,0.046088851506346534
RI,2019,4251.0,99969.0,0.042523182186477805
RI,2020,2655.0,76449.0,0.03472903504296982
RI,2021,4110.0,104675.0,0.03926438977788393
RI,2022,3871.0,104462.0,0.03705653730543164
RI,2023,4447.0,120203.0,0.036995748858181576
